legacy_url,legacy_title,legacy_kind,legacy_section,legacy_words,legacy_images,our_url,our_title,section,entry_type,record_id,author,date,publication,has_byline_fields,our_images,body_cleaned,reviewed,reviewed_at,state
https://scvhistory.com/oldtownnewhall/gazette/gazette1201-events.htm,"Old Town Newhall Gazette, January-February 2006.",article,oldtownnewhall/gazette,565,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1201-gateking.htm,"Old Town Newhall Gazette, January-February 2006.",article,oldtownnewhall/gazette,575,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1201-history.htm,"Old Town Newhall Gazette, January-February 2006.",article,oldtownnewhall/gazette,941,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1201-manzer.htm,"Old Town Newhall Gazette, January-February 2006.",article,oldtownnewhall/gazette,671,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1201-masters.htm,"Old Town Newhall Gazette, January-February 2006.",article,oldtownnewhall/gazette,589,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1201-vets.htm,"Old Town Newhall Gazette, January-February 2006.",article,oldtownnewhall/gazette,849,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1202-cowboy.htm,"Old Town Newhall Gazette, March-April 2006.",article,oldtownnewhall/gazette,804,2,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1202-editorial.htm,"Old Town Newhall Gazette, March-April 2006.",article,oldtownnewhall/gazette,951,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1202-manzer.htm,"Old Town Newhall Gazette, March-April 2006.",article,oldtownnewhall/gazette,878,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1202-nn.htm,"Old Town Newhall Gazette, March-April 2006.",article,oldtownnewhall/gazette,509,2,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1202-nrc.htm,"Old Town Newhall Gazette, March-April 2006.",article,oldtownnewhall/gazette,476,2,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1203-editorial.htm,"Old Town Newhall Gazette, May-June 2006",article,oldtownnewhall/gazette,932,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1203-walk.htm,"Old Town Newhall Gazette, May-June 2006",article,oldtownnewhall/gazette,1334,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1302-editorial.htm,"Old Town Newhall Gazette, May-June 2006",article,oldtownnewhall/gazette,1354,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1304-editorial.htm,"Old Town Newhall Gazette, November-December 2007",article,oldtownnewhall/gazette,1392,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1401-editorial.htm,"Old Town Newhall Gazette, Feb.-March 2008",article,oldtownnewhall/gazette,2439,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1401-hardware.htm,"Old Town Newhall Gazette, Feb.-March 2008",article,oldtownnewhall/gazette,529,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1401-manzer.htm,"Old Town Newhall Gazette, Feb.-March 2008",article,oldtownnewhall/gazette,1013,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1401-pollack.htm,"Old Town Newhall Gazette, Feb.-March 2008",article,oldtownnewhall/gazette,1193,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1401-pricemain.htm,"Old Town Newhall Gazette, Feb.-March 2008",article,oldtownnewhall/gazette,919,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1401-saletore.htm,"Old Town Newhall Gazette, Feb.-March 2008",article,oldtownnewhall/gazette,785,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1402-editorial.htm,"Old Town Newhall Gazette, Summer 2008",article,oldtownnewhall/gazette,2026,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1402-library.htm,"Old Town Newhall Gazette, Summer 2008",article,oldtownnewhall/gazette,674,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1403-editorial.htm,"Old Town Newhall Gazette, September-October 2008",article,oldtownnewhall/gazette,1362,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1403-projects.htm,"Old Town Newhall Gazette, September-October 2008",article,oldtownnewhall/gazette,865,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/gazette/gazette1404-editorial.htm,"Old Town Newhall Gazette, November-December 2008",article,oldtownnewhall/gazette,704,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/index.htm,,index,oldtownnewhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/index.php,,index,oldtownnewhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/,,index,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/2000powwow1.htm,"Hart of the West Powwow 2000: Jess Walking Horse Remembers Fred Popejoy.",article,oldtownnewhall/newhall,1002,9,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/2000powwow2.htm,"Hart of the West Powwow 2000: Head Dancers Nancy Garcia, Efrain Zazueta Jr.",article,oldtownnewhall/newhall,950,8,,,,,,,,,,,,no,,"no record"
